unique_key,surah_number,ayat_number,arabic_root_word,normalized_arabic_word,translitaration_word,english_word_subject_category,english_word_sub_subject_category,word_sub_category_description,inference_flag,hadith_reference
164,2,232,????????,????????,a at-har,Pure,Virtuous to Marrying Former Husband,The admonition for not preventing wife to marry their husband is for all those who believe in Allah and the Last Day,,
845,2,264, ???????????, ???????????,Aalu,Whom Allah Does Not Guide,Allah Does Not Guide the Disbeliever,Allah Does Not Guide People Who Are Disbeliever,,
691,2,258, ???????????, ???????????,Aalu,Whom Allah Does Not Guide,Allah Does Not Guide the Wrong Doers,Allah does not guide people who are wrong doers,,
603,2,255, ???????????, ???????????,Aalu,Attribute/Names of Allah,"Allah is the Most High, the Most Great","Allah is the Most High, the Most Great",,
756,2,260, ???????????, ???????????,Aalu,Numbers ,Story of Abraham and Bird resurrection,"Allah said: ""Take four birds; Tame them to turn to you and then put a portion of them on every hill and call to them: They will come to thee (Flying) in haste",,
886,2,266, ???????????, ???????????,Aalu,Teaching,No control on your earned resouces,"Does any of you wish that he should have a garden with date-palms and vines and streams flowing underneath, and all kinds of fruit, while he is stricken with old age, and his children are not strong (enough to look after themselves)- that it should be caught in a whirlwind, with fire therein, and be burnt up?",,
841,2,264, ???????????, ???????????,Aalu,Teaching,Wasting charity by reminder of generosity and injury,"O ye who believe! do not make your charity in vain by reminders of your generosity or by injury,- like those who spend their substance to be seen of men, but believe neither in Allah nor in the Last Day. They are in parable like a hard, barren rock, on which is a little soil: on it falls heavy rain, which leaves it (Just) a bare stone. They will be able to do nothing with aught they have earned. And Allah guideth not those who reject faith.",,
595,2,254, ???????????, ???????????,Aalu,Teaching,Spending in the Way of Allah before time runs out,"O ye who believe! Spend out of (the bounties) We have provided for you, before the Day comes when no bargaining (Will avail), nor friendship nor intercession. Those who reject Faith they are the wrong-doers",,
457,2,248,???,???,Aalu,Family,Remnants Left by Moses & Aaron,"The Prophet said that as proof of Saul's authority there shall come to you the Ark wherein is tranquility from your Lord, and the relics left by the family of Moses and Aaron, carried by angels",,
556,2,253,?????,?????,aamana ,Believe,Believer in Allah's Messages,"If Allah had so willed, succeeding generations would not have fought among each other, after clear (Signs) had come to them, but they (chose) to wrangle, some believing and others rejecting. If Allah had so willed, they would not have fought each other; but Allah does what He likes",,
584,2,254,???????,???????,aamanoo ,Believe,Spending in the Way of Allah before time runs out,"O ye who believe! Spend out of (the bounties) We have provided for you, before the Day comes when no bargaining (Will avail), nor friendship nor intercession. Those who reject Faith they are the wrong-doers",,
654,2,257, ???????, ???????,aamanoo ,Believe,Allah is Protector of the believer,Allah is the protector of those who believe and brings them out from darkness into light. Taghut (Evil) is the protector of the disbeliever and brings them out from light into darkness,,
655,2,257, ???????, ???????,aamanoo ,Believer,Allah is Protector of the believer,Allah is the protector of those who believe and brings them out from darkness into light. Taghut (Evil) is the protector of the disbeliever and brings them out from light into darkness,,
733,2,259,?????,?????,'aamin,Years,Uzayr died and was  raised alive after 100 years,"Story of one (Uzayr) who passed by a town all in ruins to its roofs. He said: ""Oh! how shall Allah bring it (ever) to life, after its death?"" Then Allah caused Uzayr to die for a hundred years, then raised him up (again)  and showed him how he brings life to the dead.",,
680,2,258,??????,??????,aataahu,Gave,Dispute between Abraham and Nimrod,Have You not seen the one (Nimrod) who disputed with Abraham because Allah gave Abraham the kingdom,,
567,2,253,????????,????????,aatainaa,Gave,Gave > Jesus > Allah Gave Jesus Clear Proof and Supported him with Holy Spirit,"Those messenger. We blessed some above others: To one of them Allah spoke; others He raised to degrees (of honour); to Jesus the son of Mary We gave clear (Signs), and supported him with the holy spirit.",,
884,2,266,?????????,?????????,aayaati,Signs,Signs made clear for You to Ponder,Allah makes his signs clear so that you may ponder on it,,
728,2,259,?????,?????,Aayata,Sign,Uzayr resurrection was a Sign for the disbeliever,"Allah asked Uzayr: ""How long didst thou tarry (thus)?"" He said: (Perhaps) a day or part of a day."" He said: ""Nay, thou hast tarried thus a hundred years; but look at thy food and thy drink; they show no signs of age; and look at thy donkey: And that We may make of thee a sign unto the people,",,
673,2,258,???????,?????,Aayata,Challenge,Challenge to Make Sun Rise From West,"Abraham said: ""My Lord is He Who Giveth life and death."" Nimrod said: ""I give life and death"". Said Abraham: ""Verily Allah causes the sun to rise from the east: Then cause it to rise from the West."" Thus the disbeliever was confounded",,
674,2,258,???????,?????,Aayata,Claim,Nimrod claimed he gives life & Death ,"Abraham said: ""My Lord is He Who Giveth life and death."" Nimrod said: ""I give life and death"". Said Abraham: ""Verily Allah causes the sun to rise from the east: Then cause it to rise from the West."" Thus the disbeliever was confounded",,
692,2,258,???????,?????,Aayata,Words Used in Pair,East & West,"Abraham said: ""My Lord is He Who Giveth life and death."" Nimrod said: ""I give life and death"". Said Abraham: ""Verily Allah causes the sun to rise from the east: Then cause it to rise from the West."" Thus the disbeliever was confounded",,
693,2,258,???????,?????,Aayata,Words Used in Pair,Life & Death,"Abraham said: ""My Lord is He Who Giveth life and death."" Nimrod said: ""I give life and death"". Said Abraham: ""Verily Allah causes the sun to rise from the east: Then cause it to rise from the West."" Thus the disbeliever was confounded",,
468,2,248,????? ????????,????? ????????,Aayata mulkiheee,Signs of Kingdom,Proof of Saul's kingship,"The Prophet said that as proof of Saul's authority there shall come to you the Ark wherein is tranquility from your Lord, and the relics left by the family of Moses and Aaron, carried by angels",,
388,2,245,?????????? ?????????,?????????? ?????????,ad'aafan kaseerah,Many Times,Reward on Loan to Allah,Who will give Allah a beautiful loan which Allah will double and multiply many times,,
743,2,260,??????????,??????????,ad'uu hunna,Call,Story of Abraham and Bird resurrection,"Allah said: ""Take four birds; Tame them to turn to you and then put a portion of them on every hill and call to them: They will come to thee (Flying) in haste",,
517,2,250,????????,????????,afrigh,Pour,Supplication of Saul,"When Saul'a army advanced to meet Goliath and his forces, they prayed: ""Our Lord! Pour on us patience and make our steps firm: Help us against those who disbelieve",,
443,2,247,???????,???????,ahaqqu,Right,Questioning Saul's Appointment as king,"The Children of Israel objected to the appointment of Saul as their king saying that they had more right and better fitted and also he did not have wealth in abundance?""",,
368,2,243,???????????,???????????,ahyaahum,Restored Life,Resurrection dead in this world,"Allah said to the thousands who fled their homes in fear of death to ""Die"": Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",,
758,2,260,???????,???????,Aj 'al,Put,Story of Abraham and Bird resurrection,"Allah said: ""Take four birds; Tame them to turn to you and then put a portion of them on every hill and call to them: They will come to thee (Flying) in haste",,
254,2,235,????????,????????,ajalah,Term,Prescribed Term for waiting,"There is no blame on you if you hint of marriage or conceal it. Allah knows that you will remember them: But do not make a secret promise with them except in in speaking in Honourable sayings, nor resolve on the knot of marriage untill the term prescribed is fulfilled.",,
127,2,231,???????????,???????????,ajalahunna,Iddat,Actions during divorce proceedings,"When you divorce women, and they fulfil the term of their ('Iddat), either take them back on equitable terms or set them free on equitable terms; but do not take them back to hur them or transgress against them",,
140,2,231,???????????,???????????,ajalahunna,Term,Actions during divorce proceedings,"When you divorce women, and they fulfil the term of their ('Iddat), either take them back on equitable terms or set them free on equitable terms; but do not take them back to hur them or transgress against them",,
795,2,262,??????????,??????????,ajruhum,Reward,Reward of spending in the Way of Allah without hurting or reminding,"Those who spend their wealth in the way of Allah, and follow not with reminders of their generosity or with injury,-for them their reward is with their Lord:",,
561,2,253, ???????????, ???????????,Akh talafoo,Differ,Difference on Messages sent by Allah,"If Allah had so willed, succeeding generations would not have fought among each other, after clear (Signs) had come to them, but they (chose) to wrangle, some believing and others rejecting. If Allah had so willed, they would not have fought each other; but Allah does what He likes",,
236,2,235,????????????,????????????,aknantum,Conceal,Marriage to a Widow,"There is no blame on you if you hint of marriage or conceal it. Allah knows that you will remember them: But do not make a secret promise with them except in in speaking in Honourable sayings, nor resolve on the knot of marriage untill the term prescribed is fulfilled.",,
364,2,243,???????? ???????? ??? ???????????,???????? ???????? ??? ???????????,aksarannaasi laa yashkuroon,Most Men Are Ungrateful,Most Men are Ungrateful,"Allah said to the thousands who fled their homes in fear of death to ""Die"": Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",,
365,2,243,???????? ???????? ??? ???????????,???????? ???????? ??? ???????????,aksarannaasi laa yashkuroon,Most Men Thank Not,Most Men are Ungrateful,"Allah said to the thousands who fled their homes in fear of death to ""Die"": Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",,
607,2,255,?????????,?????????,Al ard,Earth,Heaven & Earth belongs to Allah,Everything in Heaven & Earth belongs to Him,,
331,2,240,?????????,?????????,al hawli,One year,Maintenance of Widow,Those of you who die and leave widows should bequeath for their widows a year's maintenance and residence,,
341,2,240,?????????,?????????,al hawli,Year,Maintenance of Widow,Those of you who die and leave widows should bequeath for their widows a year's maintenance and residence,,
545,2,251,???????????,???????????,al Hikmata,Wisdom,Reward to David,By Allah's permission Saul's army routed them; and David killed Goliath; and Allah gave him power and wisdom and taught him whatever He willed,,
142,2,231,???????????,???????????,al hikmati,Wisdom,Remember His books and wisdom He sent,"Do not treat Allah.s Signs as a jest, but remember Allah's favours on you, and that which He sent down to you of the Book and Wisdom, for your instruction.",,
117,2,231,??????????,??????????,al kitaabi,Book,Remember His books and wisdom He sent,"Do not treat Allah.s Signs as a jest, but remember Allah's favours on you, and that which He sent down to you of the Book and Wisdom, for your instruction.",,
247,2,235,??????????,??????????,al kitaabu,Prescribe,Prescribed Term for waiting,"There is no blame on you if you hint of marriage or conceal it. Allah knows that you will remember them: But do not make a secret promise with them except in in speaking in Honourable sayings, nor resolve on the knot of marriage untill the term prescribed is fulfilled.",,
452,2,248,??????????????,??????????????,al malaaa'ikah,Angels,Carrying remnants Left by Moses & Aaron,"The Prophet said that as proof of Saul's authority there shall come to you the Ark wherein is tranquility from your Lord, and the relics left by the family of Moses and Aaron, carried by angels",,
356,2,243,?????????,?????????,al mawti,Death,Abondoning home for fear of death,"Did you not see those who abandoned their homes, though they were thousands, for fear of death?",,
277,2,236,??????????,??????????,al moosi'i,Wealthy,Divorce compensation,"There is no blame on you if you divorce women before consummation or the fixation of their dower; but bestow on them (a suitable gift), the wealthy according to his means, and the poor according to his means;",,
439,2,247,?????????,?????????,al mulku,Kingdom,Questioning Saul's Appointment as king,"The Children of Israel objected to the appointment of Saul as their king saying that they had more right and better fitted and also he did not have wealth in abundance?""",,
272,2,236,???????????,???????????,al muqtiri,Poor,Divorce compensation,"There is no blame on you if you divorce women before consummation or the fixation of their dower; but bestow on them (a suitable gift), the wealthy according to his means, and the poor according to his means;",,
549,2,252,??????????????,??????????????,al mursaleen,Messenger,Muhammad SAW is a Messenger,These are the Ayats of Allah. we recite to you in truth: Verily you are one of the mesenger,,
344,2,241,?????????????,?????????????,al muttaqeen,God Fearing,Maintenance of Divorced Women,For divorced women Maintenance (should be provided) on a reasonable (scale). This is a duty on the God Fearing,,
190,2,233,??????????,??????????,al waarisi,Heir,Fair Treatment,"No person shall have a burden laid on him greater than he can bear. No mother shall be Treated unfairly on account of her child. Nor father on account of his child, an heir shall be responsible in the same way",,
643,2,256,???????????,???????????,Al wusqaa,Firm,Trustworthy Handhold That Never Breaks ,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
